episode,reward,length,epsilon
857,-100,28,0.651415780628642
858,0,172,0.6510900727383278
859,30,162,0.6507645277019586
860,-40,86,0.6504391454381077
861,-50,45,0.6501139258653886
862,10,136,0.649788868902456
863,20,92,0.6494639744680049
864,-10,59,0.6491392424807709
865,-90,179,0.6488146728595305
866,-100,79,0.6484902655231009
867,-60,41,0.6481660203903393
868,-80,31,0.6478419373801442
869,-120,31,0.6475180164114541
870,-70,98,0.6471942574032484
871,-10,63,0.6468706602745469
872,-50,70,0.6465472249444096
873,-160,16,0.6462239513319374
874,-100,54,0.6459008393562715
875,280,300,0.6455778889365934
876,20,230,0.6452550999921252
877,-60,77,0.6449324724421291
878,10,175,0.6446100062059081
879,-60,121,0.6442877012028052
880,-70,58,0.6439655573522038
881,-50,160,0.6436435745735278
882,0,267,0.6433217527862412
883,-30,128,0.6430000919098481
884,-60,69,0.6426785918638932
885,-40,95,0.6423572525679613
886,-110,29,0.6420360739416774
887,-10,152,0.6417150559047066
888,-70,26,0.6413941983767543
889,30,188,0.6410735012775659
890,-120,38,0.6407529645269272
891,30,99,0.6404325880446637
892,-120,20,0.6401123717506414
893,-90,38,0.6397923155647661
894,-70,71,0.6394724194069837
895,-110,38,0.6391526831972802
896,50,123,0.6388331068556816
897,-110,49,0.6385136903022538
898,-50,107,0.6381944334571027
899,-110,63,0.6378753362403742
900,-50,90,0.637556398572254
901,-60,81,0.6372376203729679
902,-60,141,0.6369190015627815
